Year,Temperature_Anomaly,Average_CO2,CO2_BAU,CO2_Mitigation,CO2_Upper,CO2_Lower,Month,Country,Crop_Yield,Soil_Quality,Water_Stress
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,1,Italy,5.309050891355218,0.712074453924567,0.5863425521246785
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,2,France,9.630357298074372,0.6047058260956202,0.518181279949495
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,3,South Korea,7.989954563585538,0.6760235904259901,0.22517073405898178
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,4,Italy,6.9899386314777745,0.6180632645676584,0.7810932665566304
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,5,Australia,3.670139803318274,0.5472328797709589,0.6792285149927448
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,6,Mexico,3.66995890252152,0.8742266534810783,0.37569322202057887
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,7,Nigeria,2.935627091261496,0.7818028970798805,0.7879821976153105
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,8,Chile,8.996321093312014,0.4700565878832263,0.5611289537817934
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,9,Germany,7.008362588074066,0.8342339879489564,0.549453594924348
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,10,UK,7.810544333470341,0.6437155991247568,0.6488439076577193
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,11,Argentina,2.6543837072185186,0.8472761134470457,0.6870618728540826
2025,0.85760707,1.050512,1.07152224,1.0295017599999998,1.1030376,0.9979863999999998,12,Chile,9.774323891214959,0.7999276279736576,0.5938871643989017
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,1,Mexico,8.743319806003164,0.6126067522346168,0.27685744781972005
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,2,France,4.0925433300870715,0.4112346541600587,0.4029605035966991
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,3,Chile,3.8636872540532545,0.5343386796924731,0.7568501841956299
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,4,China,3.8755338239007537,0.6708171073304334,0.3347693671063112
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,5,Chile,4.781816822196533,0.7167391099130737,0.423300214302508
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,6,China,6.435673237241784,0.5289438427166011,0.45924612976651763
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,7,India,5.739587639815868,0.4696780370364121,0.46364299381667134
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,8,Brazil,4.684218551485314,0.8174651183996495,0.5677637494967154
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,9,Chile,7.088896710417846,0.8922010903517761,0.7658455026468247
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,10,Mexico,3.5462039548903137,0.6628450911513429,0.344415627099503
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,11,New Zealand,4.691084864014137,0.48583964292415177,0.27290082578055086
2026,0.8034698,1.0587043,1.079878386,1.037530214,1.111639515,1.005769085,12,Chile,5.2477138247026875,0.5361536632596845,0.3184822939159624
2027,0.7405184,1.064332,1.08561864,1.04304536,1.1175486,1.0111154,1,Australia,5.920524881627769,0.4091953382737334,0.7321549401255618
2027,0.7405184,1.064332,1.08561864,1.04304536,1.1175486,1.0111154,2,South Korea,8.388819710447603,0.8571494032802496,0.5874864875931236
2027,0.7405184,1.064332,1.08561864,1.04304536,1.1175486,1.0111154,3,Kenya,3.997553366187698,0.4588755414450706,0.3715440735434961
2027,0.7405184,1.064332,1.08561864,1.04304536,1.1175486,1.0111154,4,South Korea,6.356758288102087,0.6882582377571268,0.6895681633811704
